State,Cents per kWh
Connecticut,30.24
Maine,24.12
Massachusetts,31.71
New Hampshire,31.72	
Rhode Island,28.96
Vermont,19.95
New Jersey,16.92
New York,23.57
Pennsylvania,17.99
Illinois,16.04
Indiana,15.43
Michigan,17.99
Ohio,14.31
Wisconsin,16.05
Iowa,11.30	
Kansas,12.97
Minnesota,13.08
Missouri,10.73
Nebraska,9.35
North Dakota,9.91
South Dakota,11.25
Delaware,14.18
District of Columbia,14.91
Florida,15.01
Georgia,12.87
Maryland,15.87
North Carolina,12.67
South Carolina,13.99	
Virginia,14.03
West Virginia,13.09
Alabama,14.36
Kentucky,12.68
Mississippi,13.18
Tennessee,12.11
Arkansas,11.42
Louisiana,11.94
Oklahoma,10.96
Texas,14.18
Arizona,12.62
Colorado,14.20
Idaho,10.58
Montana,10.73
Nevada,16.81
New Mexico,13.53
Utah,10.66
Wyoming,10.28
California,26.45
Oregon,12.04
Washington,10.48	
Alaska,21.90
Hawaii,44.96